battery,internal,name,price,ram,rating
2000,16,"Panasonic Eluga I2 (Gold, 16 GB)",4730,2,4.1
2400,16,"Intex Aqua Elyt Dual (Black, 16 GB)",4734,2,5
2900,16,"Karbonn Frames S9 (Champagne, 16 GB)",4740,2,4
1600,8,"Micromax Bharat 2 Plus (Blue, 8 GB)",4740,1,3.6
3900,16,"Comio C2 Lite (Metal Grey, 16 GB)",4749,1.5,3.9
2900,16,"Karbonn Frames S9 (Grey, 16 GB)",4755,2,4
2900,16,"Karbonn Frames S9 (Black, 16 GB)",4760,2,4
2000,16,"Micromax Canvas Xp 4g (Moon Dust Grey, 16 GB)",4790,3,3.6
3000,16,"VOTO V12 (Black, 16 GB)",4790,2,4
2500,16,"Panasonic P91 (Black, 16 GB)",4799,1,4
2500,16,"Coolpad Mega 5A (Champagne Gold, 16 GB)",4899,2,3.8
2300,16,"LYF Water 10 (Black, 16 GB)",4899,3,3.7
2000,8,"Intex Aqua Life III (Champagne, 8 GB)",4899,1,3.3
2500,16,"ZOPO Color - X5.5 (Royale Gold, 16 GB)",4899,3,3.7
2500,16,"ZOPO Color - X5.5 (Space Grey, 16 GB)",4899,3,3.7
2000,16,"Micromax Canvas 5 Lite (Black, 16 GB)",4899,2,3.9
2800,16,"Do Mate-1 (Gold, 16 GB)",4900,2,3.7
1750,8,"Lava Iris Atom 2 (With 2000 mAh Battery) (White, 8 GB)",4900,512,3.5
2500,16,"OBI MV-1 (Black, 16 GB)",4938,2,2.5
2300,16,"Karbonn K9 Kavach (Black, 16 GB)",4948,2,4
2500,16,"Micromax Canvas Nitro 3 E352 (Slate Grey, 16 GB)",4949,2,3.8
3950,16,"Centric P1 (Grey, 16 GB)",4949,2,4
3500,16,"Lemon Blaze 507 (Rose Gold, 16 GB)",4959,1,3.5
2350,16,"Lava A97 2GB Plus 4G with VoLTE (Black & Gold, 16 GB)",4988,2,3.7
1450,16GB,"ZOPO Color M4 (Matte White, 16GB)",4989,1,2.4
2200,16,"Lemon Blaze Plus 502 (Gold, 16 GB)",4990,2,3.5
2300,16,"ZOPO F2 (Rose Gold, 16 GB)",4990,2,3.3
2210,16,"Panasonic P9 (Champagne Gold, 16 GB)",4990,1,3.7
2500,16,"Panasonic P91 (Blue, 16 GB)",4990,1,4
2500,16,"Panasonic P91 (Gold, 16 GB)",4990,1,4
3200,32,"Nuu M3 (Gold, 32 GB)",4990,3,3.5
2500,16,"Micromax Bharat 4 (Champagne, 16 GB)",4995,1,3.9
2000,8,"Micromax Q400 (Black, 8 GB)",4995,1,3.8
2200,32,"Comio C1 4G (Space Black, 32 GB)",4995,1,3.9
