battery,internal,name,price,ram,rating
4000,64,"Redmi Note 7 (Sapphire Blue, 64 GB)",11999,4,4.5
4000,64,"Redmi Note 7 (Onyx Black, 64 GB)",11999,4,4.5
4000,64,"Redmi Note 7 (Ruby Red, 64 GB)",11999,4,4.5
4000,32,"Asus ZenFone Max M2 (Black, 32 GB)",8499,3,4.3
5000,64,"Motorola One Power (Black, 64 GB)",12999,4,4.4
3000,16,"Asus ZenFone Lite L1 (Black, 16 GB)",4999,2,4.2
5000,32,"Asus Zenfone Max Pro M1 (Black, 32 GB)",8499,3,4.3
4230,32,"Realme 3 (Dynamic Black, 32 GB)",8999,3,4.5
4230,64,"Realme 3 (Radiant Blue, 64 GB)",10999,4,4.5
4230,64,"Realme 3 (Dynamic Black, 64 GB)",10999,4,4.5
4000,64,"Redmi Note 6 Pro (Black, 64 GB)",11999,4,4.5
5000,64,"Asus Zenfone Max Pro M1 (Grey, 64 GB)",12499,6,4.3
3000,8,"Redmi Go (Blue, 8 GB)",4499,1,4.4
5000,32,"Asus Zenfone Max Pro M1 (Grey, 32 GB)",8499,3,4.3
4000,64,"Redmi Note 7 Pro (Space Black, 64 GB)",13999,4,4.6
3000,32,"Honor 7A (Blue, 32 GB)",7499,3,4.3
4000,64,"Redmi Note 7 Pro (Nebula Red, 64 GB)",13999,4,4.6
4000,32,"Asus ZenFone Max M1 (Black, 32 GB)",6999,3,4.2
3000,32,"Honor 9N (Midnight Black, 32 GB)",8999,3,4.4
3000,64,"Honor 9N (Purple, 64 GB)",13999,4,4.3
3000,32,"Honor 9N (Robin Egg Blue, 32 GB)",12500,3,4.4
3000,64,"Honor 9N (Robin Egg Blue, 64 GB)",14500,4,4.3
3000,32,"Honor 9N (Sapphire Blue, 32 GB)",8999,3,4.4
3000,128,"Honor 9N (Sapphire Blue, 128 GB)",11999,4,4.3
